icode,brand,name,discount,old_price,price,qty,scraped_at
14796614,追覓科技,Pocket 魔術折疊高速吹風機,31折,8690,2699,89,2026-08-25 09:00:01
15048661,TIKO,三胜光泌賦活飲21入,36折,8800,3168,95,2026-08-25 09:00:01
13469798,禾聯,50型4K智慧TV,59折,14900,8888,0,2026-08-25 09:00:01
9113256,舒酸定,長效抗敏牙膏8入,47折,1418,669,424,2026-08-25 09:00:01
15110256,優迷 磁吸高清同步Mini自拍器,優迷 磁吸高清同步Mini自拍器,62折,1590,999,196,2026-08-25 09:00:01
15577683,Samsung 三星,Galaxy Z Fold8 (12G/256G),91折,59900,54900,22,2026-08-25 09:00:01
10536422,QUAKER 桂格,無糖養氣人蔘72入,73折,4320,3185,90,2026-08-25 09:00:01
14645690,健康優見,葉黃素軟膠囊10瓶+贈維生素C 2瓶,43折,4555,1999,281,2026-08-25 09:00:01
12984109,ARIEL,抗菌除臭洗衣精補充8包,78折,1099,859,427,2026-08-25 09:00:01
14314032,雨傘王,BigRed 極輕薄系列 安全防回彈 折疊傘(終身免費維修),73折,1190,879,160,2026-08-25 09:00:01
11188381,伊萊克斯,Pure A9.2高效能抗菌空氣清淨機EP71-56,44折,22900,10111,77,2026-08-25 09:00:01
13193762,UCC,BLACK無糖咖啡185gx60入,47折,1800,849,359,2026-08-25 09:00:01
13991930,HP,UIA4925三合一wifi墨匣機組★支援手機列印mac系統可用,83折,4180,3490,28,2026-08-25 09:00:01
15244470,未來美,雲朵潔顏美膚洗臉機,3折,5480,1680,51,2026-08-25 09:00:01
9200247,CONVERSE,CTAS MOVE 女款厚底增高休閒鞋 (多款任選),55折,2180,1199,240,2026-08-25 09:00:01
11006259,禾聯,4-6坪一級變頻冷暖空調,59折,29900,17900,17,2026-08-25 09:00:01
12181571,元大珠寶,黃金0.5錢金塊金條 投資保值利器(金重1.875克),94折,10688,10088,31,2026-08-25 09:00:01
15491290,麥當勞,豬肉滿福堡+薯餅+美式,64折,137,88,2,2026-08-25 09:00:01
9596499,Oral-B 歐樂B,PRO3 3D電動牙刷+送兩年份刷頭,43折,4799,2111,78,2026-08-25 09:00:01
15106212,STANLEY,官方直營 輕滑速吸水壺0.59L,92折,1280,1180,240,2026-08-25 09:00:01
13771296,貓倍麗,珍選餐盒 57gx24入,49折,1416,699,188,2026-08-25 09:00:01
10419093,滿意寶寶,極上呵護輕巧褲L-XL(任選2箱組),78折,3798,2998,487,2026-08-25 09:00:01
10596456,Glolux,16W LED燈泡8入,22折,2392,549,12,2026-08-25 09:00:01
14772881,德國雙人,Simplify不鏽鋼24cm平底鍋,33折,3000,999,285,2026-08-25 09:00:01
15425590,蘭蔻,零粉感超持久粉底,47折,4749,2250,241,2026-08-25 09:00:01
10075784,MarCella 瑪榭,7件/6件組★緊實包臀輕薄抗菌內褲,55折,1813,999,491,2026-08-25 09:00:01
13351861,船井生醫,FIP100纖維粉增量限定版(共240包),34折,19200,6580,48,2026-08-25 09:00:01
15248937,雅詩蘭黛,小棕瓶買100mlx2,25折,15800,4011,188,2026-08-25 09:00:01
15291411,初色,高腰顯瘦闊腿褲/涼感長褲(多款任選),21折,2177,469,558,2026-08-25 09:00:01
13322377,海之醇,XL特大扁鱈厚切-6片組,47折,1850,879,309,2026-08-25 09:00:01
8333154,3M,S301三道式淨水器特惠組,63折,14440,9111,28,2026-08-25 09:00:01
